"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR"
"2017","NYY","91","71","36","639","162","1448.2","9.69","3.13","1.19",".280","74.5%","46.2%","14.2%","95.3","3.75","","3.88","3.82","23.4"
"2017","BOS","93","69","39","677","162","1482.1","9.59","2.82","1.18",".303","75.7%","41.0%","12.7%","93.8","3.73","","3.78","3.91","23.2"
"2017","WSN","97","65","46","649","162","1446.2","9.06","3.08","1.18",".287","74.4%","44.0%","12.8%","94.1","3.88","","3.99","4.12","23.0"
"2015","CHC","97","65","48","714","162","1461.1","8.81","2.51","0.83",".287","72.7%","46.6%","10.7%","93.1","3.36","","3.30","3.37","22.9"
"2017","ARI","93","69","43","675","162","1441.0","9.26","3.22","1.07",".294","74.2%","48.1%","13.1%","93.6","3.67","","3.80","3.86","22.9"
"2022","ATL","101","61","55","680","162","1448.0","9.66","3.11","0.92",".286","74.6%","43.5%","10.4%","94.7","3.46","","3.46","3.58","22.7"
"2022","PHI","87","75","42","678","162","1428.1","8.97","2.92","0.95",".302","71.2%","44.2%","10.6%","94.4","3.98","","3.60","3.70","22.7"
"2015","WSN","83","79","41","630","162","1434.2","8.42","2.28","0.91",".300","72.7%","44.7%","10.3%","94.0","3.62","","3.45","3.58","22.2"
"2021","SFG","107","55","56","761","162","1455.0","8.81","2.57","0.93",".279","74.9%","45.6%","10.9%","93.7","3.25","","3.55","3.87","22.0"
"2018","CLE","91","71","41","670","162","1457.1","9.54","2.51","1.24",".298","76.0%","42.5%","13.7%","93.2","3.77","","3.78","3.66","22.0"
"2019","WSN","93","69","40","692","162","1439.1","9.45","3.23","1.26",".296","73.0%","42.6%","13.9%","93.8","4.28","","4.14","4.32","21.7"
"2017","LAD","104","58","51","698","162","1444.2","9.65","2.75","1.15",".281","77.8%","42.7%","13.4%","93.1","3.38","","3.67","3.70","21.7"
"2021","NYY","92","70","47","674","162","1435.1","9.84","3.08","1.23",".284","74.0%","41.9%","12.9%","94.9","3.76","","3.90","4.00","21.7"
"2016","NYM","87","75","55","700","162","1447.0","8.68","2.73","0.95",".308","75.6%","44.2%","11.1%","93.8","3.58","","3.57","3.78","21.5"
"2015","CLE","81","80","38","637","161","1432.2","8.84","2.67","1.01",".288","72.8%","44.5%","11.7%","94.3","3.68","","3.62","3.57","21.1"
"2019","CLE","93","69","42","684","162","1437.2","9.44","2.82","1.30",".291","76.0%","39.7%","13.6%","93.2","3.79","","4.06","4.30","21.0"
"2015","STL","100","62","62","677","162","1464.2","8.17","2.93","0.76",".297","79.4%","48.0%","9.4%","93.9","2.94","","3.48","3.71","20.6"
"2022","NYM","101","61","41","645","162","1438.2","9.79","2.68","1.06",".297","76.0%","43.3%","11.8%","94.3","3.58","","3.50","3.45","20.3"
"2016","LAD","91","71","47","768","162","1453.0","9.35","2.87","1.02",".288","73.8%","42.8%","11.7%","93.1","3.70","","3.61","3.75","20.0"
"2022","SFG","81","81","39","738","162","1433.0","8.60","2.77","0.83",".310","70.0%","47.7%","9.8%","94.5","3.86","","3.43","3.63","20.0"
"2021","BOS","92","70","49","725","162","1419.0","9.68","3.46","1.12",".323","71.9%","44.2%","12.6%","94.8","4.27","","3.95","4.07","19.9"
"2019","CIN","75","87","46","697","162","1438.0","9.71","3.35","1.34",".286","73.7%","44.3%","16.4%","94.4","4.18","","4.23","4.10","19.8"
"2019","NYM","86","76","38","664","162","1461.0","9.36","3.08","1.26",".304","73.1%","43.4%","13.9%","95.3","4.25","","4.10","4.29","19.8"
"2015","LAD","92","70","47","677","162","1445.2","8.69","2.46","0.90",".296","74.7%","50.1%","12.1%","93.8","3.46","","3.40","3.33","19.7"
"2018","PHI","80","82","44","758","162","1445.2","9.12","3.11","1.06",".303","71.0%","45.4%","12.4%","94.1","4.15","","3.83","3.87","19.7"
"2022","NYY","99","63","47","669","162","1451.2","9.05","2.75","0.97",".268","76.3%","44.1%","10.7%","95.1","3.30","","3.56","3.64","19.6"
"2015","PIT","98","64","54","662","162","1489.2","8.08","2.74","0.66",".302","75.0%","50.4%","9.4%","94.4","3.23","","3.36","3.56","19.5"
"2022","SDP","89","73","48","649","162","1443.1","9.05","2.92","1.08",".282","73.5%","41.2%","11.1%","94.3","3.81","","3.82","3.86","19.3"
"2017","HOU","101","61","45","681","162","1446.0","9.91","3.25","1.20",".300","73.7%","47.3%","14.9%","93.5","4.12","","3.91","3.77","19.0"
"2015","NYM","90","72","50","647","162","1462.2","8.23","2.36","0.94",".288","74.3%","46.3%","10.8%","94.4","3.45","","3.53","3.60","19.0"
"2018","LAD","92","71","48","756","163","1476.0","9.54","2.57","1.09",".284","76.2%","44.9%","13.4%","92.6","3.40","","3.60","3.52","19.0"
"2021","TBR","100","62","42","693","162","1455.2","9.14","2.70","1.14",".281","73.7%","41.5%","12.3%","94.1","3.67","","3.79","3.97","18.9"
"2015","HOU","86","76","39","644","162","1441.0","7.99","2.64","0.92",".285","73.8%","47.3%","10.9%","92.6","3.57","","3.66","3.71","18.9"
"2016","CHC","103","58","38","665","162","1459.2","8.88","3.05","1.01",".255","77.5%","46.9%","13.1%","93.3","3.15","","3.77","3.74","18.8"
"2016","BOS","93","69","43","625","162","1439.2","8.51","3.06","1.10",".293","72.9%","41.5%","11.4%","93.8","4.00","","4.00","4.20","18.8"
"2019","OAK","97","65","45","709","162","1465.0","7.98","2.93","1.23",".278","75.1%","41.5%","12.6%","93.0","3.97","","4.34","4.72","18.8"
"2016","NYY","84","78","48","645","162","1428.1","8.78","2.80","1.35",".292","74.2%","46.9%","15.5%","95.3","4.16","","4.20","3.86","18.7"
"2022","CLE","92","70","51","669","162","1456.0","8.59","2.69","1.06",".274","73.8%","42.5%","11.2%","93.3","3.47","","3.75","3.78","18.6"
"2017","COL","87","75","47","711","162","1437.2","7.95","3.33","1.19",".305","72.2%","48.5%","14.2%","94.5","4.51","","4.32","4.26","18.6"
"2018","BOS","108","54","46","697","162","1458.2","9.61","3.16","1.09",".294","75.8%","42.4%","11.9%","93.6","3.75","","3.82","3.92","18.5"
"2016","DET","86","75","47","637","161","1428.0","7.76","2.91","1.15",".300","72.2%","44.5%","11.7%","93.4","4.24","","4.16","4.31","18.5"
"2015","NYY","87","75","48","659","162","1457.2","8.46","2.93","1.12",".300","73.8%","47.0%","13.6%","94.6","4.03","","3.97","3.70","18.4"
"2016","CLE","94","67","37","665","161","1445.0","8.71","2.87","1.16",".289","73.4%","46.7%","13.7%","93.6","3.86","","3.91","3.80","18.2"
"2019","NYY","103","59","50","707","162","1443.0","9.57","3.16","1.55",".296","75.2%","42.4%","16.8%","93.9","4.31","","4.47","4.27","17.9"
"2018","NYM","77","85","41","663","162","1460.2","8.91","2.98","1.14",".295","73.0%","42.1%","12.2%","93.9","4.07","","3.97","4.03","17.9"
"2016","HOU","84","78","44","662","162","1468.0","8.56","2.78","1.11",".306","73.4%","45.2%","12.6%","92.9","4.06","","3.85","3.87","17.6"
"2018","TBR","90","72","52","715","162","1448.1","8.83","3.11","1.02",".278","73.3%","43.9%","11.5%","94.0","3.75","","3.82","3.98","17.4"
"2015","CHW","76","86","37","576","162","1452.2","8.42","2.94","1.00",".311","72.9%","45.2%","11.4%","93.1","3.98","","3.82","3.81","17.4"
"2021","PHI","82","80","36","687","162","1418.2","9.39","3.23","1.27",".296","71.4%","45.4%","14.7%","94.1","4.39","","4.15","4.02","17.3"
"2022","CHW","81","81","48","711","162","1447.2","9.01","3.31","1.03",".295","71.2%","41.5%","10.5%","94.5","3.94","","3.81","3.93","17.3"
"2016","CHW","78","84","43","643","162","1446.2","7.90","3.24","1.15",".298","74.0%","43.1%","12.0%","93.1","4.12","","4.27","4.38","17.1"
"2018","COL","91","72","51","681","163","1452.1","8.73","3.25","1.14",".299","71.3%","45.2%","13.5%","93.4","4.33","","4.06","3.96","17.1"
"2017","MIL","86","76","54","712","162","1445.2","8.38","3.44","1.15",".298","74.8%","45.7%","13.5%","93.5","4.00","","4.24","4.26","17.1"
"2022","TOR","92","70","46","746","162","1441.1","8.68","2.65","1.12",".295","73.4%","41.4%","11.4%","93.8","3.89","","3.85","3.84","17.0"
"2022","LAA","73","89","38","652","162","1435.2","8.67","3.39","1.05",".276","73.0%","42.2%","11.1%","94.1","3.79","","3.96","4.00","17.0"
"2019","CHC","84","78","38","738","162","1442.0","9.01","3.33","1.22",".300","74.1%","45.9%","15.0%","92.4","4.10","","4.25","4.29","16.9"
"2021","CIN","83","79","41","741","162","1434.1","9.56","3.87","1.29",".297","72.6%","44.2%","14.8%","94.3","4.41","","4.34","4.18","16.9"
"2021","HOU","95","67","34","674","162","1445.0","9.07","3.42","1.16",".275","75.1%","44.7%","13.6%","93.2","3.80","","4.12","4.12","16.9"
"2016","TOR","89","73","43","649","162","1459.1","8.10","2.84","1.13",".282","74.4%","46.6%","13.0%","92.9","3.79","","4.04","4.02","16.8"
"2017","CHC","92","70","38","693","162","1447.1","8.95","3.44","1.21",".285","74.2%","46.2%","14.5%","92.7","3.95","","4.20","4.10","16.8"
"2017","PIT","75","87","36","664","162","1440.2","7.88","3.19","1.14",".306","73.2%","45.2%","12.9%","94.8","4.23","","4.23","4.33","16.6"
"2017","TOR","76","86","45","740","162","1465.0","8.43","3.37","1.25",".303","71.8%","45.4%","13.3%","92.5","4.42","","4.31","4.36","16.6"
"2016","STL","86","76","38","643","162","1448.1","8.02","2.95","0.99",".304","71.8%","49.5%","12.8%","94.1","4.08","","3.88","3.88","16.6"
"2019","BOS","84","78","33","794","162","1471.0","9.99","3.70","1.32",".312","70.8%","42.6%","14.4%","93.6","4.70","","4.28","4.39","16.5"
"2018","SEA","89","73","60","699","162","1448.2","8.25","2.49","1.21",".295","72.5%","42.5%","12.7%","93.6","4.13","","4.05","4.06","16.5"
"2022","TBR","86","76","44","734","162","1435.2","8.68","2.41","1.08",".277","74.6%","42.5%","11.2%","94.2","3.41","","3.68","3.71","16.5"
"2018","WSN","82","80","40","724","162","1446.0","8.82","3.03","1.23",".287","74.8%","41.2%","12.8%","93.4","4.04","","4.15","4.13","16.4"
"2021","NYM","77","85","41","705","162","1379.1","9.48","3.10","1.24",".287","73.2%","42.5%","13.9%","94.5","3.90","","4.04","3.99","16.3"
"2021","LAA","77","85","39","724","162","1421.2","9.20","3.75","1.19",".305","69.6%","44.5%","13.5%","92.9","4.69","","4.25","4.26","16.0"
"2015","MIN","83","79","45","682","162","1443.0","6.52","2.58","1.02",".300","72.8%","44.0%","10.4%","92.5","4.07","","4.10","4.23","16.0"
"2015","BAL","81","81","43","615","162","1434.2","7.73","3.03","1.09",".298","73.6%","45.2%","12.0%","93.2","4.05","","4.11","4.04","15.8"
"2016","BAL","89","73","54","605","162","1432.0","7.84","3.43","1.15",".299","73.7%","44.8%","12.6%","93.3","4.22","","4.31","4.34","15.7"
"2017","STL","83","79","43","708","162","1450.1","8.38","3.06","1.14",".298","73.6%","46.3%","13.5%","94.3","4.01","","4.09","4.12","15.7"
"2021","MIA","67","95","33","757","162","1415.0","8.78","3.36","1.03",".290","71.6%","44.6%","12.0%","93.8","3.96","","4.01","4.21","15.7"
"2016","MIA","79","82","55","720","161","1435.0","8.65","3.73","0.95",".303","74.0%","43.0%","10.9%","93.9","4.05","","3.97","4.21","15.5"
"2021","ATL","88","73","40","742","161","1410.2","9.04","3.29","1.17",".280","74.4%","43.7%","13.5%","94.3","3.89","","4.09","4.09","15.5"
"2019","SDP","70","92","47","705","162","1432.0","9.27","2.91","1.35",".299","70.0%","43.0%","14.8%","93.4","4.63","","4.22","4.29","15.2"
"2018","ATL","90","72","40","715","162","1456.2","8.79","3.92","0.95",".278","74.1%","43.3%","11.2%","93.7","3.75","","3.99","4.16","15.1"
"2017","TBR","80","82","53","673","162","1445.0","8.42","3.13","1.20",".283","73.0%","43.0%","12.8%","93.7","3.99","","4.17","4.29","15.0"
"2018","PIT","82","79","40","641","161","1434.0","8.38","3.12","1.09",".296","73.6%","43.4%","12.1%","94.3","4.00","","4.06","4.14","14.9"
"2019","STL","91","71","52","704","162","1444.0","8.72","3.40","1.19",".283","75.8%","44.9%","14.5%","93.9","3.82","","4.27","4.36","14.9"
"2022","MIL","86","76","52","710","162","1446.0","9.52","3.24","1.18",".280","72.9%","43.8%","13.4%","93.1","3.83","","3.92","3.66","14.9"
"2015","TBR","80","82","60","692","162","1453.1","8.39","2.95","1.08",".284","75.1%","41.8%","11.2%","93.6","3.74","","3.91","3.94","14.7"
"2021","TOR","91","71","34","698","162","1405.1","9.40","3.03","1.34",".284","75.5%","43.0%","14.5%","93.5","3.91","","4.18","4.06","14.5"
"2018","MIL","96","67","49","722","163","1461.0","8.80","3.41","1.07",".279","74.4%","43.2%","12.5%","92.7","3.73","","4.01","4.04","14.5"
"2016","SEA","86","76","49","638","162","1457.0","8.14","2.84","1.32",".292","74.9%","43.4%","13.8%","93.5","4.00","","4.30","4.17","14.5"
"2021","OAK","86","76","39","666","162","1433.0","8.37","2.76","1.20",".290","73.7%","40.3%","11.8%","93.2","4.02","","4.10","4.35","14.4"
"2018","STL","88","74","43","727","162","1455.1","8.27","3.67","0.89",".293","73.0%","44.6%","10.5%","93.7","3.85","","3.97","4.24","14.4"
"2017","PHI","66","96","33","668","162","1441.0","8.18","3.29","1.38",".304","73.0%","42.9%","14.1%","93.4","4.57","","4.56","4.50","14.3"
"2019","TEX","78","84","33","661","162","1438.0","8.63","3.65","1.51",".312","70.5%","41.8%","15.4%","93.7","5.09","","4.84","4.82","14.2"
"2016","SFG","87","75","43","737","162","1460.1","8.07","2.71","0.97",".287","74.3%","45.3%","10.8%","92.7","3.69","","3.76","4.01","14.2"
"2018","CHC","95","68","46","763","163","1476.1","8.13","3.79","0.96",".284","76.2%","45.0%","11.5%","92.4","3.65","","4.14","4.29","14.1"
"2018","SFG","73","89","36","711","162","1461.1","7.82","3.23","0.96",".293","72.3%","44.5%","11.0%","92.3","3.95","","3.98","4.20","14.1"
"2021","SEA","90","72","51","746","162","1440.1","8.30","3.03","1.23",".288","71.1%","40.5%","12.1%","93.2","4.30","","4.26","4.47","14.1"
"2022","MIA","69","93","41","694","162","1437.1","9.00","3.20","1.08",".295","73.8%","44.6%","12.6%","94.5","3.87","","3.90","3.75","14.1"
"2016","PHI","71","91","43","667","162","1437.0","8.14","2.92","1.33",".304","70.5%","41.0%","13.8%","93.0","4.64","","4.34","4.21","13.9"
"2022","SEA","90","72","40","698","162","1447.0","8.65","2.78","1.16",".279","76.1%","39.8%","11.2%","93.8","3.59","","3.90","3.93","13.8"
"2015","KCR","95","67","56","655","162","1452.0","7.19","3.03","0.96",".286","75.0%","42.8%","9.9%","93.3","3.74","","4.04","4.25","13.8"
"2021","COL","74","87","33","704","161","1397.0","8.18","3.47","1.26",".302","69.8%","44.8%","14.3%","94.5","4.83","","4.47","4.38","13.8"
"2015","TOR","93","69","34","631","162","1441.0","6.98","2.48","1.08",".278","72.7%","43.7%","11.0%","91.8","3.81","","4.09","4.14","13.7"
"2017","KCR","80","82","39","700","162","1437.2","7.61","3.25","1.23",".303","70.9%","43.7%","12.0%","92.9","4.63","","4.43","4.68","13.7"
"2016","OAK","69","93","42","654","162","1433.1","7.46","2.91","1.16",".299","70.7%","46.2%","12.5%","93.0","4.51","","4.24","4.28","13.7"
"2021","SDP","79","83","43","786","162","1430.0","9.55","3.25","1.29",".287","73.6%","42.8%","14.3%","94.4","4.10","","4.18","4.08","13.5"
"2018","OAK","97","65","44","740","162","1465.2","7.60","2.91","1.13",".270","73.5%","43.6%","12.2%","92.6","3.82","","4.18","4.25","13.5"
"2022","STL","93","69","37","628","162","1435.2","7.38","3.07","0.92",".287","74.2%","47.2%","10.7%","93.8","3.79","","3.94","4.03","13.4"
"2019","CHW","72","89","33","697","161","1412.2","8.36","3.71","1.52",".302","71.3%","43.2%","15.9%","94.4","4.91","","4.89","4.81","13.2"
"2016","COL","75","87","37","695","162","1429.1","7.70","3.44","1.14",".317","68.0%","49.1%","14.1%","93.7","4.92","","4.38","4.23","13.1"
"2015","OAK","68","94","28","649","162","1444.2","7.34","2.95","1.07",".289","71.0%","45.0%","11.4%","92.7","4.16","","4.13","4.13","13.0"
"2019","ARI","85","77","45","719","162","1465.0","8.77","3.17","1.35",".295","74.0%","43.1%","15.2%","92.5","4.25","","4.40","4.42","12.9"
"2021","KCR","74","88","37","718","162","1417.1","8.53","3.75","1.20",".301","70.3%","42.2%","12.6%","94.0","4.64","","4.39","4.52","12.7"
"2022","COL","68","94","43","659","162","1425.1","7.50","3.40","1.16",".312","66.8%","44.1%","12.1%","94.0","5.08","","4.38","4.29","12.6"
"2016","TEX","95","67","56","641","162","1443.0","7.20","3.33","1.25",".292","72.8%","45.5%","13.5%","92.9","4.38","","4.58","4.49","12.6"
"2019","MIL","89","73","50","750","162","1459.1","9.23","3.52","1.39",".292","73.1%","42.2%","15.6%","93.9","4.40","","4.46","4.42","12.5"
"2021","STL","90","72","50","718","162","1417.0","7.78","3.86","0.97",".272","73.2%","43.7%","10.8%","93.4","4.00","","4.30","4.66","12.4"
"2019","ATL","97","65","44","737","162","1450.2","8.64","3.40","1.26",".302","73.8%","45.2%","15.0%","93.2","4.20","","4.39","4.42","12.4"
"2018","SDP","66","96","36","697","162","1457.0","8.64","3.21","1.14",".305","71.1%","44.4%","13.6%","92.1","4.41","","4.10","3.99","12.4"
"2015","MIA","71","91","35","648","162","1427.0","7.27","3.20","0.89",".294","72.3%","44.5%","9.5%","93.7","4.04","","3.98","4.23","12.2"
"2018","LAA","80","82","35","763","162","1437.1","8.68","3.42","1.28",".294","74.1%","42.1%","14.1%","93.0","4.15","","4.36","4.18","12.2"
"2015","LAA","85","77","46","680","162","1440.2","7.63","2.91","1.04",".285","73.3%","41.5%","10.0%","91.8","3.94","","4.05","4.26","12.2"
"2016","KCR","81","81","41","634","162","1440.0","8.04","3.23","1.29",".298","75.4%","44.3%","13.4%","93.8","4.21","","4.42","4.33","12.1"
"2018","ARI","82","80","39","735","162","1463.0","8.91","3.21","1.07",".289","75.7%","47.3%","13.7%","92.1","3.73","","3.91","3.81","12.0"
"2022","BAL","83","79","46","703","162","1433.1","7.62","2.78","1.07",".296","73.2%","43.2%","10.9%","93.5","3.97","","4.03","4.10","11.9"
"2015","BOS","78","84","40","637","162","1448.1","7.57","2.97","1.11",".305","71.6%","44.1%","11.6%","93.1","4.34","","4.17","4.14","11.8"
"2015","DET","74","87","35","666","161","1447.0","6.84","3.04","1.20",".298","69.7%","42.9%","12.0%","93.1","4.64","","4.46","4.36","11.7"
"2017","DET","64","98","32","672","162","1420.1","7.62","3.41","1.38",".320","68.7%","39.4%","12.8%","93.4","5.36","","4.73","4.87","11.5"
"2017","SFG","64","98","32","664","162","1452.0","7.65","3.07","1.13",".308","71.1%","42.5%","11.5%","92.7","4.50","","4.22","4.53","11.4"
"2018","MIN","78","84","37","728","162","1443.1","8.59","3.57","1.23",".302","72.4%","41.6%","13.2%","92.7","4.50","","4.39","4.33","11.4"
"2020","CLE","35","25","20","241","60","536.0","10.43","2.64","1.14",".285","78.5%","40.5%","13.4%","93.3","3.29","","3.55","3.73","11.2"
"2017","TEX","78","84","29","626","162","1434.1","6.95","3.51","1.34",".289","70.9%","44.2%","13.6%","93.3","4.70","","4.88","4.89","11.2"
"2016","MIL","73","89","46","675","162","1434.1","7.37","3.34","1.12",".300","73.1%","46.0%","12.4%","93.3","4.10","","4.37","4.42","11.1"
"2015","TEX","88","74","45","660","162","1442.2","6.83","3.17","1.07",".294","72.4%","44.2%","11.2%","92.8","4.25","","4.34","4.37","11.0"
"2017","LAA","80","82","43","705","162","1440.2","8.20","2.94","1.40",".289","74.9%","41.6%","14.1%","92.9","4.20","","4.43","4.37","11.0"
"2018","TEX","67","95","42","668","162","1431.0","7.05","3.09","1.40",".299","69.6%","43.0%","14.1%","93.0","4.92","","4.79","4.58","10.9"
"2015","CIN","64","98","35","683","162","1453.1","7.75","3.37","1.10",".297","71.7%","44.1%","12.1%","94.0","4.35","","4.24","4.14","10.8"
"2021","CLE","80","82","39","697","162","1408.0","8.89","3.34","1.38",".282","72.8%","42.6%","14.7%","93.9","4.34","","4.43","4.27","10.7"
"2022","MIN","78","84","28","710","162","1437.0","8.37","2.93","1.15",".285","73.3%","40.0%","11.0%","92.8","3.98","","4.03","4.10","10.7"
"2016","MIN","59","103","26","695","162","1443.0","7.43","2.99","1.38",".319","68.3%","43.0%","13.9%","92.5","5.09","","4.57","4.42","10.7"
"2015","ARI","79","83","44","712","162","1466.2","7.46","3.07","1.12",".294","73.7%","45.7%","12.3%","93.6","4.05","","4.21","4.09","10.6"
"2016","TBR","68","94","42","647","162","1426.1","8.56","3.10","1.33",".297","74.2%","41.0%","13.1%","93.3","4.20","","4.26","4.22","10.6"
"2019","DET","47","114","31","738","161","1433.0","8.59","3.37","1.57",".317","68.8%","42.7%","15.9%","92.7","5.26","","4.84","4.75","10.3"
"2015","PHI","63","99","35","665","162","1436.1","7.22","3.06","1.20",".316","71.1%","44.0%","12.2%","92.8","4.69","","4.40","4.29","10.3"
"2016","ARI","69","93","31","737","162","1451.1","8.17","3.74","1.25",".320","68.7%","46.0%","14.1%","93.7","5.09","","4.50","4.34","10.1"
"2020","CIN","31","29","9","228","60","504.0","10.98","3.80","1.20",".278","72.8%","43.2%","14.6%","94.6","3.89","","3.92","3.95","10.1"
"2018","DET","64","98","37","704","162","1425.1","7.67","3.10","1.36",".291","70.5%","39.6%","12.9%","92.2","4.60","","4.59","4.55","10.0"
"2015","MIL","68","94","40","658","162","1435.0","7.90","3.24","1.10",".303","72.1%","46.1%","12.7%","93.0","4.28","","4.17","3.99","9.9"
"2022","CIN","62","100","31","736","162","1423.1","8.94","3.87","1.35",".298","71.1%","40.6%","13.3%","94.7","4.86","","4.59","4.31","9.9"
"2018","CHW","62","100","34","715","162","1437.0","7.89","4.09","1.23",".292","69.4%","40.8%","11.7%","93.3","4.85","","4.73","4.88","9.8"
"2022","BOS","78","84","39","738","162","1431.0","8.47","3.31","1.16",".304","69.8%","42.8%","11.8%","94.1","4.53","","4.17","4.11","9.8"
"2015","SDP","74","88","41","678","162","1440.1","8.70","3.22","1.07",".303","71.1%","46.9%","13.3%","93.3","4.09","","3.93","3.71","9.7"
"2017","OAK","75","87","35","687","162","1431.0","7.56","3.16","1.32",".294","68.9%","44.9%","13.9%","92.8","4.67","","4.57","4.54","9.6"
"2022","PIT","62","100","33","666","162","1421.0","7.92","3.71","1.04",".304","68.7%","43.9%","10.9%","93.8","4.66","","4.27","4.34","9.5"
"2022","DET","66","96","38","742","162","1419.2","7.58","3.24","1.06",".284","71.3%","41.7%","10.2%","93.0","4.04","","4.16","4.34","9.4"
"2020","MIN","36","24","17","262","60","513.1","9.38","2.98","1.09",".288","76.8%","40.8%","12.1%","92.0","3.58","","3.79","4.15","9.4"
"2017","SEA","78","84","39","689","162","1440.1","7.77","3.06","1.48",".283","72.7%","40.3%","14.1%","93.2","4.46","","4.70","4.64","9.3"
"2020","MIL","29","31","14","249","60","517.1","10.68","3.29","1.17",".296","70.5%","46.6%","15.2%","93.3","4.18","","3.80","3.76","9.1"
"2015","SEA","76","86","45","671","162","1463.0","7.89","3.02","1.11",".298","72.8%","46.3%","12.5%","93.3","4.16","","4.14","3.99","9.1"
"2016","ATL","68","93","39","748","161","1447.2","7.63","3.40","1.10",".293","70.2%","44.7%","11.7%","93.8","4.51","","4.32","4.48","9.0"
"2016","PIT","78","83","51","687","162","1450.2","7.64","3.31","1.12",".306","72.5%","46.9%","13.0%","94.0","4.22","","4.30","4.28","9.0"
"2017","ATL","72","90","36","692","162","1441.1","7.86","3.65","1.20",".302","70.1%","44.5%","12.5%","93.9","4.72","","4.51","4.67","9.0"
"2020","LAD","43","17","15","309","60","538.2","8.64","2.42","1.10",".252","75.8%","46.3%","13.2%","94.4","3.02","","3.79","3.99","8.9"
"2017","MIN","85","77","42","682","162","1436.0","7.31","3.03","1.40",".296","72.5%","42.4%","13.5%","92.4","4.60","","4.71","4.75","8.9"
"2019","TOR","67","95","33","753","162","1440.1","8.32","3.77","1.42",".300","71.8%","43.1%","14.9%","93.2","4.79","","4.82","4.88","8.9"
"2022","TEX","68","94","37","694","162","1435.0","8.24","3.64","1.06",".292","71.2%","45.9%","11.9%","94.7","4.22","","4.18","4.11","8.9"
"2021","DET","77","85","42","739","162","1419.2","7.98","3.62","1.26",".289","72.6%","44.5%","13.2%","94.1","4.32","","4.60","4.65","8.8"
"2015","SFG","84","78","41","719","162","1444.1","7.26","2.69","0.97",".283","74.5%","46.0%","10.8%","92.3","3.73","","3.91","3.98","8.8"
"2018","CIN","67","95","38","706","162","1441.0","7.86","3.32","1.42",".300","71.5%","44.4%","15.8%","94.0","4.65","","4.68","4.28","8.7"
"2017","NYM","70","92","34","730","162","1434.2","8.62","3.72","1.38",".319","70.4%","44.4%","14.9%","93.6","5.01","","4.59","4.42","8.7"
"2022","CHC","74","88","44","690","162","1443.2","8.62","3.37","1.29",".287","73.5%","43.1%","13.5%","92.8","4.03","","4.33","4.04","8.7"
"2019","PIT","69","93","31","712","162","1440.0","9.02","3.65","1.51",".315","68.9%","42.2%","15.7%","93.7","5.19","","4.78","4.72","8.7"
"2016","SDP","68","94","35","672","162","1440.0","7.64","3.56","1.14",".296","71.3%","46.4%","12.6%","92.7","4.44","","4.40","4.42","8.6"
"2017","BAL","75","87","35","654","162","1441.0","7.70","3.62","1.51",".302","72.2%","44.6%","15.4%","93.3","4.97","","4.96","4.72","8.6"
